date,snippet
2017-07-06,"The presidents proposed reductions to the departments research may have a greater impact on climate change than the Paris accord decision The top  chief executives, who make more than last year, are holding meetings with President Trump, who is considering rolling back DoddFrank regulations A classaction case alleges that the automaker programmed heavyduty pickups to cheat on pollution tests The company denied the charge The Timess new cybersecurity reporter explains why the prospect of selfdriving cars strikes fear in the hearts of security reearchers Across Europe, some fledgling driverless projects are focused on utilitarian selfdriving vehicles for mass transit that barely exceed walking pace"
2017-07-07,"The Ford family, which controls twofifths of Ford Motors voting stock with less than  percent of the shares, was caught off guard It shouldnt have been The spending plan also calls for raising billions of dollars by opening up public lands to oil and gas drilling and selling oil from the Strategic Petroleum Reserve A service called Opendoor, which will make an offer on your house sight unseen, illustrates a new breed of startup and Silicon Valleys everwidening ambitions"
2017-07-08,The automaker promoted Jim Hackett and vowed to catch up in the race to build selfdriving cars and to bolster its conventional product line
2017-07-09,"Jim Hackett, who oversees the unit working on autonomous vehicles, will take over an automaker under fire over its stock price and stagnant sales"
2017-07-14,"In a tide of breaking news, why pay attention to the tech industry"
2017-07-18,"California has  hydrogen refilling stations, and automakers are poised to add stations in the Northeast, from New York to Boston Friday How innovation thrives in Silicon Valley, the therapeutic power of communing with animals, and reader recommendations for Los Angeles restaurants"
2017-07-20,"In a partnership with Vivint Solar, the automaker will market a storage device that can help power lights, appliances  and even electric cars"
2017-07-21,Google was an early ally of Uber when it was a ridehailing startup That relationship changed when both pursued selfdriving technology in earnest
2017-07-24,"Our software systems are like unstable cities built on swamps We could fix them if the industry and the government took decisive action With Mark Fields under investor pressure, the automaker is shedding , salaried jobs in a step to balance cutbacks with technology investments"
2017-07-26,"The automaker came under fire from shareholders over its stock price, its leadership and even the format of the event itself"
2017-07-29,"Apple continues to mint money at an almost inconceivable pace But it hasnt come out with a technological game changer in years Investors, take heed"
2017-07-30,"A highstakes dispute between two leaders in the field is coming to a head as a judge considers whether an Uber executive brought stolen trade secrets to the company The downtown boom, visible in the new nightlife scene along Newark Avenue, poses a threat to the urban pioneers from the citys grittier days"
2017-07-31,"A former business owner from Houston and Mulberry Streets would love to bring back the spirit of a neighborhood where Nikola Tesla once had a lab Were following major developments in the markets throughout the day Check here for the latest updates Investors have been bullish about the electriccar maker, but its ability to meet its goals is under scrutiny as it proceeds with a massmarket model Heres what you need to know to start your day New models may help ease consumers fears of running out of power before they reach the charging station"
2017-08-01,"Nearly  executives have visited this year, putting CEOs on par with senior lawmakers as influences on President Trumps thinking A growing number of disgruntled consumers are using satirical images to target companies  notable ones include Samsung and Pepsi  and that has brands scrambling for cover"
2017-08-02,"Heres what you need to know to start your day Technology, investors and entrepreneurs are behind a groundswell of innovation in hardware A Brooklyn center dedicated to commercializing hardware startups shows the trend"
2017-08-03,"Anthony Levandowski, the engineer at the center of litigation over driverless car technology, said he will no longer work on a key part of the technology at Uber"
2017-08-04,"Heres what you need to know about the weeks top stories Whether an American program to sabotage North Korean test flights is behind a string of failures, it has led Pyongyang to hunt for spies and ways to combat such attacks Since taking over two years ago, James and Lachlan Murdoch seem determined to rid the company of the oldguard culture on which their father built his empire"
2017-08-07,The permit is the clearest signal yet that the company wants to enter an intensely competitive sector by designing or building autonomous vehicle technology Traditional automakers are building a greater presence in California to compete with tech companies that are so far leading the pack
2017-08-08,"Rachel Whetstone, the head of policy and communications, guided the ridehailing company through a series of recent scandals YouTubes Super Chat feature gives creators on the video site a new way to make money by charging audience members to have their comments highlighted during live streams"
2017-08-09,"Investors have been energized by the electriccar makers upbeat outlook for delivering its massmarket model Now its chief, Elon Musk, must deliver"
2017-08-11,Heres what you need to know to start your day
2017-08-14,"Tuesday Questions for UC Berkeleys  commencement speaker, three people die in a San Bernardino shooting, and some of the springs most colorful scenes Teslas valuation implies that investors expect its chief executive, Elon Musk, to outdo even some of his biggest cheerleaders already rosy assumptions"
2017-08-15,Heres what you need to know to start your day
2017-08-17,"General Motors has achieved steady profits in a booming domestic market and has tried to prove its innovative approach, but investors are unimpressed"
2017-08-18,"The ambitious conglomerate, which said unspecified regulatory problems had derailed the American TV acquisition, grew quickly but its cash has dwindled"
2017-08-19,Canadian researchers have played a major role in developing artificial intelligence Now the government is helping to create research centers to retain them
2017-08-20,"After passing Ford Motor a week ago, the electric car company edged past General Motors in early trading, with a market capitalization of  billion"
2017-08-22,Heres what you need to know to start your day
2017-08-23,The electriccar maker is the latest company to become a market darling based not on what it has achieved but on a vision of a dominant future
2017-08-27,"Standing with a reusable booster and a model of a capsule for carrying humans into space, the billionaire disclosed that he had been financing his rocket company by selling shares in his company"
2017-08-30, Noteworthy Watches From Baselworld 
2017-09-03,Heres what you need to know to start your day
2017-09-06,"Tuesday A new salvo in Californias fight with President Trump, a rush for HB visas, and the growing popularity of the slackline"
2017-09-07,"The vow to revamp the system has buoyed markets, but any changes will be hard to enact with dozens of appointments to the department still pending"
2017-09-08,Heres what you need to know to start your day Heres what you need to know to start your day
2017-09-12,"With an eye for both design and engineering, this British consumer electronics company is aiming for  and winning  the high end of the market The electriccar maker said it produced , vehicles in the first quarter, compared with , a year ago The company wants to produce , cars in  Heres what you need to know at the end of the day The federal government announced fairly small changes to the work visa program Tech companies are still waiting for more significant alterations With signs that the long boom in American auto sales is tapering off, the Detroit giants are eclipsed on Wall Street by the electricvehicle upstart"
2017-09-14,"Companies that have embraced environmental goals are represented on White House councils, offering influence that advocacy groups hope theyll use"
2017-09-23,"Heres what you need to know to start your day The rate may need to be  percent so the presidents plan is tax neutral When Barack Obama proposed that figure, repeatedly, Republicans called it too high Ignoring climate change and the benefits of clean energy only helps a rival"
2017-09-27,"The purchase came as the carmaker has sought to raise more cash before starting production of its Model , an electric vehicle targeting the mass market"
2017-09-28,An argument can be made that governments can prod companies to innovate The growing popularity of electric cars provides a case in point
2017-09-30,Sometimes the only way to push technology advances is through rules Loosening the ones on fuel economy could leave the car industry out of step with the future
2017-10-02,The electric carmaker has lost money three years in a row and plans to supercharge production of its mass market model with very little buffer
2017-10-03,"While the battle in Washington gets much of the attention, the most direct attack against electric vehicles is being waged in statehouses Chip makers such as Intel are excited about the market for autonomous vehicles, which require a lot of computing power Some automakers already offer drowsiness detection systems, and more are likely to follow with ever more sophisticated technology"
2017-10-04,"While immigration, health care and Russia are hogging the media oxygen, big reversals are happening in Obamaera tech policy"
2017-10-05,"From Pennsylvania Station, take the train to the Thomas Edison Center at Menlo Park to learn about the inventors highly productive , patents life"
2017-10-07,An idea thats about a century old congestion pricing could be ready for prime time rush hour
2017-10-09,"At the companys shareholder meeting, Robert A Iger told those who want him to quit the presidents business policy forum that he was using it to share his values with Mr Trump"
2017-10-10,Freddy Cheng sneaks up on us
2017-10-12,"Along with sensors, autonomous vehicles will need detailed maps of the road and the obstacles ahead Creating these maps will be a monumental task The Trump administrations expected move on emissions and mileage targets would remove a costly mandate, though some efficiency efforts would proceed"
2017-10-14,"A lawsuit says an employee took thousands of secret files on selfdriving car design when he left Google to start his own company, later sold to Uber Two new exchange traded funds offer a conservative evangelical  what is called biblically responsible  tilt to the socalled sin stocks investing approach Ubers reputation is in tatters Fixing its culture is the only way out"
